#           v(2)       v(3)       v(4)      
 0.         0.         0.         0.        
 0.5        0.0042244  3.549E-12  0.        
 1.         0.38735    63.702E-6  49.E-15   
 1.5        0.85995    0.25783    426.95E-9 
 2.         1.3427     0.71012    0.12644   
 2.5        1.83       1.1785     0.55651   
 3.         2.3212     1.6585     1.0208    
 3.5        2.8146     2.144      1.4964    
 4.         3.3093     2.6326     1.9778    
 4.5        3.8049     3.1232     2.4628    
 5.         4.3011     3.6153     2.9501    
