#Time       I(L1)      V(1)      
 0.         0.         0.        
 100.E-6    0.088437   10.661    
 200.E-6    0.35197    21.311    
 300.E-6    0.78787    31.94     
 400.E-6    1.3933     42.538    
 500.E-6    2.1652     53.094    
 600.E-6    3.1003     63.597    
 700.E-6    4.1956     74.038    
 800.E-6    5.4476     84.405    
 900.E-6    6.853      94.69     
 0.001      8.408      104.88    
 0.0011     10.109     114.97    
 0.0012     11.952     124.94    
 0.0013     13.933     134.79    
 0.0014     16.048     144.51    
 0.0015     18.293     154.08    
 0.0016     20.664     163.51    
 0.0017     23.156     172.77    
 0.0018     25.764     181.86    
 0.0019     28.485     190.77    
 0.002      31.314     199.49    
 0.0021     34.246     208.02    
 0.0022     37.275     216.34    
 0.0023     40.398     224.45    
 0.0024     43.61      232.33    
 0.0025     46.905     239.99    
 0.0026     50.278     247.41    
 0.0027     53.725     254.59    
 0.0028     57.24      261.51    
 0.0029     60.817     268.18    
 0.003      64.453     274.58    
 0.0031     68.141     280.71    
 0.0032     71.877     286.56    
 0.0033     75.654     292.14    
 0.0034     79.468     297.42    
 0.0035     83.314     302.41    
 0.0036     87.185     307.1     
 0.0037     91.078     311.49    
 0.0038     94.985     315.57    
 0.0039     98.902     319.33    
 0.004      102.82     322.79    
 0.0041     106.75     325.92    
 0.0042     110.66     328.74    
 0.0043     114.57     331.23    
 0.0044     118.45     333.39    
 0.0045     122.32     335.22    
 0.0046     126.16     336.72    
 0.0047     129.97     337.89    
 0.0048     133.74     338.73    
 0.0049     137.47     339.23    
 0.005      141.15     339.4     
 0.0051     144.78     339.23    
 0.0052     148.35     338.73    
 0.0053     151.86     337.89    
 0.0054     155.31     336.72    
 0.0055     158.68     335.22    
 0.0056     161.98     333.39    
 0.0057     165.21     331.22    
 0.0058     168.34     328.74    
 0.0059     171.39     325.92    
 0.006      174.35     322.79    
 0.0061     177.21     319.33    
 0.0062     179.97     315.56    
 0.0063     182.63     311.48    
 0.0064     185.18     307.1     
 0.0065     187.62     302.41    
 0.0066     189.94     297.42    
 0.0067     192.15     292.13    
 0.0068     194.23     286.56    
 0.0069     196.19     280.71    
 0.007      198.03     274.58    
 0.0071     199.73     268.18    
 0.0072     201.31     261.51    
 0.0073     202.75     254.59    
 0.0074     204.05     247.41    
 0.0075     205.21     239.99    
 0.0076     206.23     232.33    
